tris,type,size,time
INSERTION_SORT,ORDERED,2048,0.002244
INSERTION_SORT,ORDERED,4096,0.00436267
INSERTION_SORT,ORDERED,8192,0.006847
INSERTION_SORT,ORDERED,16384,0.011573
INSERTION_SORT,ORDERED,32768,0.0182107
INSERTION_SORT,ORDERED,65536,0.032014
INSERTION_SORT,ORDERED,131072,0.0623953
INSERTION_SORT,ORDERED,262144,0.124133
INSERTION_SORT,ORDERED,524288,0.251394
INSERTION_SORT,ORDERED,1048576,0.512932
MERGE_SORT,RANDOM,1,8.43333e-05
MERGE_SORT,RANDOM,2,0.000380333
MERGE_SORT,RANDOM,4,0.000678333
MERGE_SORT,RANDOM,8,0.00144233
MERGE_SORT,RANDOM,16,0.00323867
MERGE_SORT,RANDOM,32,0.00648767
MERGE_SORT,RANDOM,64,0.0130913
MERGE_SORT,RANDOM,128,0.0267823
MERGE_SORT,RANDOM,256,0.0514873
MERGE_SORT,RANDOM,512,0.100516
MERGE_SORT,RANDOM,1024,0.203426
MERGE_SORT,RANDOM,2048,0.411035
MERGE_SORT,RANDOM,4096,0.8356
MERGE_SORT,RANDOM,8192,1.78134
MERGE_SORT,RANDOM,16384,3.41903
MERGE_SORT,RANDOM,32768,6.93214
MERGE_SORT,RANDOM,65536,14.0393
MERGE_SORT,RANDOM,131072,28.6709
MERGE_SORT,RANDOM,262144,58.9677
MERGE_SORT,RANDOM,524288,116.6
MERGE_SORT,RANDOM,1048576,235.058
MERGE_SORT,INVERSE,1,9.33333e-05
MERGE_SORT,INVERSE,2,0.000353
MERGE_SORT,INVERSE,4,0.000630667
MERGE_SORT,INVERSE,8,0.001422
MERGE_SORT,INVERSE,16,0.00307567
MERGE_SORT,INVERSE,32,0.00608467
MERGE_SORT,INVERSE,64,0.012408
MERGE_SORT,INVERSE,128,0.0250377
MERGE_SORT,INVERSE,256,0.0475453
MERGE_SORT,INVERSE,512,0.0934533
MERGE_SORT,INVERSE,1024,0.188537
MERGE_SORT,INVERSE,2048,0.378839
MERGE_SORT,INVERSE,4096,0.78036
MERGE_SORT,INVERSE,8192,1.54417
MERGE_SORT,INVERSE,16384,3.23612
MERGE_SORT,INVERSE,32768,6.2581
MERGE_SORT,INVERSE,65536,12.5622
MERGE_SORT,INVERSE,131072,25.1402
MERGE_SORT,INVERSE,262144,52.7528
MERGE_SORT,INVERSE,524288,103.135
MERGE_SORT,INVERSE,1048576,209.776
MERGE_SORT,ORDERED,1,6e-05
MERGE_SORT,ORDERED,2,0.000409333
MERGE_SORT,ORDERED,4,0.000625667
MERGE_SORT,ORDERED,8,0.001301
MERGE_SORT,ORDERED,16,0.002971
MERGE_SORT,ORDERED,32,0.00596733
MERGE_SORT,ORDERED,64,0.0120227
MERGE_SORT,ORDERED,128,0.0243513
MERGE_SORT,ORDERED,256,0.0456353
MERGE_SORT,ORDERED,512,0.0909863
MERGE_SORT,ORDERED,1024,0.184742
MERGE_SORT,ORDERED,2048,0.370689
MERGE_SORT,ORDERED,4096,0.746664
MERGE_SORT,ORDERED,8192,1.50533
MERGE_SORT,ORDERED,16384,3.08721
MERGE_SORT,ORDERED,32768,6.16256
MERGE_SORT,ORDERED,65536,12.7457
MERGE_SORT,ORDERED,131072,26.1382
MERGE_SORT,ORDERED,262144,52.5762
MERGE_SORT,ORDERED,524288,106.958
MERGE_SORT,ORDERED,1048576,212.859
COUNTING_SORT,RANDOM,1,0.000615667
COUNTING_SORT,RANDOM,2,0.018235
COUNTING_SORT,RANDOM,4,0.0309103
COUNTING_SORT,RANDOM,8,0.034819
COUNTING_SORT,RANDOM,16,0.0376587
COUNTING_SORT,RANDOM,32,0.0381263
COUNTING_SORT,RANDOM,64,0.0413733
COUNTING_SORT,RANDOM,128,0.0408317
COUNTING_SORT,RANDOM,256,0.0414717
COUNTING_SORT,RANDOM,512,0.0426753
COUNTING_SORT,RANDOM,1024,0.0447393
COUNTING_SORT,RANDOM,2048,0.0483387
COUNTING_SORT,RANDOM,4096,0.0574387
COUNTING_SORT,RANDOM,8192,0.0758793
COUNTING_SORT,RANDOM,16384,0.129422
COUNTING_SORT,RANDOM,32768,0.227781
COUNTING_SORT,RANDOM,65536,0.447826
COUNTING_SORT,RANDOM,131072,1.00241
COUNTING_SORT,RANDOM,262144,2.09398
COUNTING_SORT,RANDOM,524288,4.11927
COUNTING_SORT,RANDOM,1048576,9.48396
COUNTING_SORT,INVERSE,1,0.000594667
COUNTING_SORT,INVERSE,2,0.015021
COUNTING_SORT,INVERSE,4,0.0322737
COUNTING_SORT,INVERSE,8,0.0268783
COUNTING_SORT,INVERSE,16,0.0383793
COUNTING_SORT,INVERSE,32,0.0387707
COUNTING_SORT,INVERSE,64,0.0404963
COUNTING_SORT,INVERSE,128,0.0417627
COUNTING_SORT,INVERSE,256,0.0417603
COUNTING_SORT,INVERSE,512,0.0431117
COUNTING_SORT,INVERSE,1024,0.0455
COUNTING_SORT,INVERSE,2048,0.055026
COUNTING_SORT,INVERSE,4096,0.059008
COUNTING_SORT,INVERSE,8192,0.0739877
COUNTING_SORT,INVERSE,16384,0.170929
COUNTING_SORT,INVERSE,32768,0.226317
COUNTING_SORT,INVERSE,65536,0.454127
COUNTING_SORT,INVERSE,131072,0.870318
COUNTING_SORT,INVERSE,262144,1.78383
COUNTING_SORT,INVERSE,524288,2.75426
COUNTING_SORT,INVERSE,1048576,6.0476
COUNTING_SORT,ORDERED,1,0.000663667
COUNTING_SORT,ORDERED,2,0.031325
COUNTING_SORT,ORDERED,4,0.0293483
COUNTING_SORT,ORDERED,8,0.0405133
COUNTING_SORT,ORDERED,16,0.0370873
COUNTING_SORT,ORDERED,32,0.0399777
COUNTING_SORT,ORDERED,64,0.0385317
COUNTING_SORT,ORDERED,128,0.0409533
COUNTING_SORT,ORDERED,256,0.0422747
COUNTING_SORT,ORDERED,512,0.043136
COUNTING_SORT,ORDERED,1024,0.0444243
COUNTING_SORT,ORDERED,2048,0.0491203
COUNTING_SORT,ORDERED,4096,0.0566453
COUNTING_SORT,ORDERED,8192,0.0748097
COUNTING_SORT,ORDERED,16384,0.168992
COUNTING_SORT,ORDERED,32768,0.217752
COUNTING_SORT,ORDERED,65536,0.400703
COUNTING_SORT,ORDERED,131072,0.853977
COUNTING_SORT,ORDERED,262144,1.75775
COUNTING_SORT,ORDERED,524288,2.71342
COUNTING_SORT,ORDERED,1048576,6.01932
NATIVE_SORT,RANDOM,1,0.000321667
NATIVE_SORT,RANDOM,2,0.000154667
NATIVE_SORT,RANDOM,4,0.000152667
NATIVE_SORT,RANDOM,8,0.000278667
NATIVE_SORT,RANDOM,16,0.000386333
NATIVE_SORT,RANDOM,32,0.000694333
NATIVE_SORT,RANDOM,64,0.00124933
NATIVE_SORT,RANDOM,128,0.002734
NATIVE_SORT,RANDOM,256,0.00603233
NATIVE_SORT,RANDOM,512,0.012577
NATIVE_SORT,RANDOM,1024,0.028212
NATIVE_SORT,RANDOM,2048,0.0614577
NATIVE_SORT,RANDOM,4096,0.134783
NATIVE_SORT,RANDOM,8192,0.306589
NATIVE_SORT,RANDOM,16384,0.646444
NATIVE_SORT,RANDOM,32768,1.37808
NATIVE_SORT,RANDOM,65536,2.9616
NATIVE_SORT,RANDOM,131072,6.3325
NATIVE_SORT,RANDOM,262144,13.0732
NATIVE_SORT,RANDOM,524288,27.2534
NATIVE_SORT,RANDOM,1048576,55.8816
NATIVE_SORT,INVERSE,1,0.000244333
NATIVE_SORT,INVERSE,2,0.000197333
NATIVE_SORT,INVERSE,4,0.000144667
NATIVE_SORT,INVERSE,8,0.000259333
NATIVE_SORT,INVERSE,16,0.000373333
NATIVE_SORT,INVERSE,32,0.000354333
NATIVE_SORT,INVERSE,64,0.000575
NATIVE_SORT,INVERSE,128,0.000623
NATIVE_SORT,INVERSE,256,0.000804667
NATIVE_SORT,INVERSE,512,0.00106833
NATIVE_SORT,INVERSE,1024,0.00236067
NATIVE_SORT,INVERSE,2048,0.003989
NATIVE_SORT,INVERSE,4096,0.00764133
NATIVE_SORT,INVERSE,8192,0.024094
NATIVE_SORT,INVERSE,16384,0.0287213
NATIVE_SORT,INVERSE,32768,0.056404
NATIVE_SORT,INVERSE,65536,0.106753
NATIVE_SORT,INVERSE,131072,0.197813
NATIVE_SORT,INVERSE,262144,0.400957
NATIVE_SORT,INVERSE,524288,0.905282
NATIVE_SORT,INVERSE,1048576,2.53362
NATIVE_SORT,ORDERED,1,0.00033
NATIVE_SORT,ORDERED,2,0.000151
NATIVE_SORT,ORDERED,4,0.000165667
NATIVE_SORT,ORDERED,8,0.000216667
NATIVE_SORT,ORDERED,16,0.000331333
NATIVE_SORT,ORDERED,32,0.000359
NATIVE_SORT,ORDERED,64,0.000385333
NATIVE_SORT,ORDERED,128,0.000443667
NATIVE_SORT,ORDERED,256,0.000667667
NATIVE_SORT,ORDERED,512,0.000756667
NATIVE_SORT,ORDERED,1024,0.00118533
NATIVE_SORT,ORDERED,2048,0.00203233
NATIVE_SORT,ORDERED,4096,0.00384867
NATIVE_SORT,ORDERED,8192,0.00769
NATIVE_SORT,ORDERED,16384,0.016132
NATIVE_SORT,ORDERED,32768,0.0314187
NATIVE_SORT,ORDERED,65536,0.0624487
NATIVE_SORT,ORDERED,131072,0.12422
NATIVE_SORT,ORDERED,262144,0.255517
NATIVE_SORT,ORDERED,524288,0.548308
NATIVE_SORT,ORDERED,1048576,1.8363
HEAP_SORT,RANDOM,1,0.000172667
HEAP_SORT,RANDOM,2,8.76667e-05
HEAP_SORT,RANDOM,4,0.000109667
HEAP_SORT,RANDOM,8,0.000215333
HEAP_SORT,RANDOM,16,0.000467333
HEAP_SORT,RANDOM,32,0.00104467
HEAP_SORT,RANDOM,64,0.00221667
HEAP_SORT,RANDOM,128,0.00501267
HEAP_SORT,RANDOM,256,0.0110357
HEAP_SORT,RANDOM,512,0.0240073
HEAP_SORT,RANDOM,1024,0.052216
HEAP_SORT,RANDOM,2048,0.113388
HEAP_SORT,RANDOM,4096,0.243681
HEAP_SORT,RANDOM,8192,0.522294
HEAP_SORT,RANDOM,16384,1.12952
HEAP_SORT,RANDOM,32768,2.49681
HEAP_SORT,RANDOM,65536,5.35848
HEAP_SORT,RANDOM,131072,11.8966
HEAP_SORT,RANDOM,262144,25.8787
HEAP_SORT,RANDOM,524288,58.635
HEAP_SORT,RANDOM,1048576,121.291
HEAP_SORT,INVERSE,1,0.000129
HEAP_SORT,INVERSE,2,7.1e-05
HEAP_SORT,INVERSE,4,6.16667e-05
HEAP_SORT,INVERSE,8,0.000151
HEAP_SORT,INVERSE,16,0.00032
HEAP_SORT,INVERSE,32,0.000629333
HEAP_SORT,INVERSE,64,0.00132567
HEAP_SORT,INVERSE,128,0.00334233
HEAP_SORT,INVERSE,256,0.00832367
HEAP_SORT,INVERSE,512,0.0189363
